# CSP logarithmically sampled (velscale=50.0)
# Wavelength, SSP_logage_04.00_z_0.0018, SSP_logage_07.50_z_0.0018, SSP_logage_09.00_z_0.0018, SSP_logage_04.00_z_0.0178, SSP_logage_07.50_z_0.0178, SSP_logage_09.00_z_0.0178
3.996333242794087710e+03 1.766834780573844910e-02 3.894947236403822899e-03 5.216374411247670650e-04 1.727515645325183868e-02 3.523213090375065804e-03 4.144273989368230104e-04
3.996999815019801190e+03 1.766638830304145813e-02 3.900986164808273315e-03 5.223051994107663631e-04 1.726806908845901489e-02 3.526131622493267059e-03 4.152404726482927799e-04
3.997666498427066472e+03 1.766442507505416870e-02 3.907031379640102386e-03 5.229738890193402767e-04 1.726097241044044495e-02 3.529052948579192162e-03 4.160545067861676216e-04
3.998333293034429062e+03 1.768854446709156036e-02 3.929456695914268494e-03 5.328630795702338219e-04 1.727467961609363556e-02 3.551208879798650742e-03 4.250865022186189890e-04
3.999000198860435830e+03 1.770633831620216370e-02 3.938380163162946701e-03 5.369189311750233173e-04 1.730416901409626007e-02 3.563911886885762215e-03 4.289648495614528656e-04
3.999667215923637741e+03 1.772406138479709625e-02 3.947277087718248367e-03 5.409682635217905045e-04 1.733359694480895996e-02 3.576590446755290031e-03 4.328370850998908281e-04
4.000334344242588486e+03 1.768244616687297821e-02 3.937380388379096985e-03 5.412307800725102425e-04 1.731405779719352722e-02 3.572508925572037697e-03 4.331092932261526585e-04
4.001001583835844940e+03 1.762114651501178741e-02 3.924556542187929153e-03 5.411506281234323978e-04 1.724895089864730835e-02 3.557279007509350777e-03 4.324440669734030962e-04
4.001668934721968071e+03 1.756010390818119049e-02 3.911805339157581329e-03 5.410755984485149384e-04 1.718398928642272949e-02 3.542111720889806747e-03 4.317860584706068039e-04
4.002336396919520666e+03 1.747915521264076233e-02 3.899522358551621437e-03 5.421702517196536064e-04 1.706525310873985291e-02 3.521600272506475449e-03 4.320213338360190392e-04
